"sample_id","redcap_repeat_instance","ngs_runid","duplicate_id","ngs_rundate","ngs_location","ngs_provider","ngs_submission","ngs_platform","primer_scheme","primer_scheme_version","nanopore_platform","ngs_flowcell","illumina_platform","ngs_prep","ngs_barcode","ngs_library","ngs_analysis_type","ngs_merged_from","total_reads","mapped_reads","mean_depth","stdev_depth","median_depth","minimum_reads","maximum_reads","genomecov_depthx1","genomecov_depthx5","genomecov_depthx20","genomecov_depthx100","negative_control_sample","genbank_accession","consensus_coverage","consensus_fasta","ngs_notes","sample_labid","sample_sequenceid","sample_batchid","apha_sub","apha_rv","sample_tissuetype","sample_buffer","country","hmpcr_n405","rtassay","rtqpcr","lateral_flow_test","fat","drit","diagnostic_result","test_centre","diag_notes","genome_length","coverage_percent","qc_status"
"(PM/333)PMM/333/09(1703)","1","miseq4","1","7/26/13","CVR",NA,NA,"Illumina",NA,NA,NA,NA,"Miseq",NA,"N705/S503",NA,"Single run",NA,"553903","627","13.14845257","6.107788987","12","0","44","11814","11264","1817","0","No",NA,94.47286757,NA,NA,"RV2806","RV2806","11-May","SUB1703","RV2806","Brain","Unknown","TZA: Tanzania","Pos1","Unknown",NA,"NA","NA","NA","Positive","APHA;CVL",NA,11923,0.792358194833515,"Low coverage"
"(ROBMA)SD08/2009RV313(2503)1635","1","miseq3","1","7/16/13","CVR",NA,NA,"Illumina",NA,NA,NA,NA,"Miseq",NA,"N703/S502",NA,"Single run",NA,"662464","1322","28.73907574","12.81848837","28","0","72","11909","11813","8674","0","No","KR906740",99.0774134,NA,NA,"RV2503","RV2503","11-May","SUB1635","RV2503","Brain","Unknown","TZA: Tanzania","Pos1","Unknown",NA,"NA","NA","NA","Positive","APHA",NA,11923,0.830977215465906,"Low coverage"
"2_2017","1","aqp19","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26752",NA,"Amplicon","barcode03",NA,NA,NA,"15740","15248","615.4755515","381.0124213","548","0","1974","11881","11877","11877","11162","No",NA,11827,"2_2017__aqp19__instance1.fasta",NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA,11923,99.1948335150549,"High quality"
"4A-22-40","1","run5_21","1","1/3/22","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAQ67517",NA,"Amplicon","barcode04",NA,"Single run",NA,"37660","37660","2143.286708","719.6691412","2099","0","3920","11895","11886","11885","11676","No","NA",11785,"4A-22-40__run5_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,98.7680187730473,"High quality"
"4A-22-98","1","run5_21","1","1/3/22","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAQ67517",NA,"Amplicon","barcode05",NA,"Single run",NA,"46433","46433","2301.151022","848.9059604","2193","0","4276","11887","11886","11885","11676","No","NA",11792,"4A-22-98__run5_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,98.8266845457593,"High quality"
"4A-22-104","1","run5_21","1","1/3/22","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAQ67517",NA,"Amplicon","barcode06",NA,"Single run",NA,"62538","62538","2734.587663","1135.203836","2625","0","6111","11897","11677","11676","11676","No","NA",11591,"4A-22-104__run5_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,97.1421387864566,"High quality"
"4A-22-171","1","run10_23","1","2/3/23","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU43074",NA,"Amplicon","barcode24",NA,"Single run",NA,"40941","40941","1328.048776","819.7012991","1165","0","3971","11683","11677","11676","11669","No","NA",11597,"4A-22-171__run10_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,97.1924237344955,"High quality"
"4A-22-203","1","run10_23","1","2/3/23","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU43074",NA,"Amplicon","barcode25",NA,"Single run",NA,"37558","37558","1190.401022","855.1184059","1151","0","4038","11681","11392","11354","10995","No","PP858767",11261,"4A-22-203__run10_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,94.3764666443178,"High quality"
"4B-21-29","1","run4_21","1","22/02/2022","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAQ72364",NA,"Amplicon","barcode06",NA,"Single run",NA,"29965","29965","1014.977204","521.3244337","952","0","2368","11897","11886","11885","11859","No","NA",11791,"4B-21-29__run4_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,98.8183037210862,"High quality"
"4B-21-35","1","run4_21","1","22/02/2022","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAQ72364",NA,"Amplicon","barcode07",NA,"Single run",NA,"31723","31723","1093.751006","623.6411208","975","0","2662","11896","11886","11723","11216","No","NA",11593,"4B-21-35__run4_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,97.1589004358029,"High quality"
