sample_id,year,date_collection,region.x(Gurdeep),region.y(contact tracing),place(Gurdeep),district(contact tracing),Sikana confirmed dates_Sample Collected,"ML_notes(x,y,z)"
KIL1022,10/08/2022,15/09/2022,Morogoro,Morogoro,Kilombero,Kilombero,10/08/2022,x
MAS1016,16/03/2022,15/09/2022,Morogoro,Mtwara,Masasi,Masasi,16/03/2022,x
MORDC1011,01/08/2022,30/11/2022,Morogoro,Morogoro,Morogoro urban,Morogoro,01/08/2022,x
NAC1014,14/08/2022,15/09/2022,Lindi,Lindi,Nachingwea,Nachingwea,14/08/2022,x
SD712,18/05/2018,10/05/2018,Mara,Mara,Serengeti,Serengeti,26/02/2018,z
SD712,18/05/2018,23/05/2018,Mara,Mara,Serengeti,Serengeti,Duplicate to deleted,z
SD735,23/09/2020,23/09/2018,Mara,Mara,Serengeti,Serengeti,23/09/2018,x
SD737,30/05/2020,23/12/2018,Mara,Mara,Serengeti,Serengeti,23/12/2018,y
SD740,15/02/2019,14/02/2019,Mara,Mara,Serengeti,Serengeti,15/02/2019,x
SD743,22/03/2019,10/06/2019,Mara,Mara,Serengeti,Serengeti,23/03/2019,z
SD744,27/03/2019,06/02/2020,Mara,Mara,Serengeti,Serengeti,27/03/2019,x
SD745,27/03/2019,06/02/2020,Mara,Mara,Serengeti,Serengeti,27/03/2019,x
SD750,19/11/2019,26/06/2019,Mara,Mara,Serengeti,Serengeti,26/06/2019,y
SD759,19/11/2019,18/05/2020,Mara,Mara,Serengeti,Serengeti,19/05/2020,z
SD760,02/07/2020,30/05/2020,Mara,Mara,Serengeti,Serengeti,29/05/2020,z
SD761,02/07/2020,01/06/2020,Mara,Mara,Serengeti,Serengeti,01/06/2020,y
SD766,01/09/2020,12/10/2020,Mara,Mara,Musoma Urban,Musoma Urban,28/09/2020,z
SD767,28/09/2020,12/10/2020,Mara,Mara,Musoma Urban,Musoma Urban,28/09/2020,x
SD782,21/04/2021,14/10/2020,Mara,Mara,Rorya,Rorya,07/08/2020,z
SD790,13/01/2021,12/01/2021,Mara,Mara,Serengeti,Serengeti,13/01/2021,x
SD792,04/03/2021,10/03/2021,Mara,Mara,Serengeti,Serengeti,10/03/2021,y
SD799,21/06/2021,20/06/2021,Mara,Mara,Serengeti,Serengeti,21/06/2021,x
SD804,26/10/2021,24/10/2021,Mara,Mara,Serengeti,Serengeti,24/10/2021,y
SD809,30/10/2021,29/10/2021,Mara,Mara,Tarime,Tarime,30/10/2021,x
SD812,21/12/2021,06/02/2022,Mara,Mara,Serengeti,Serengeti,18/11/2021,z
SD815,21/12/2021,07/02/2022,Mara,Mara,Serengeti,Serengeti,21/12/2021,x
SD816,09/02/2022,08/02/2022,Mara,Mara,Serengeti,Butiama,01/01/2022,z
SD817,26/01/2022,25/01/2022,Mara,Mara,Serengeti,Serengeti,26/01/2022,x
SD818,31/01/2022,30/01/2022,Mara,Mara,Serengeti,Serengeti,31/01/2022,x
SD821,29/03/2022,31/03/2022,Mara,Mara,Serengeti,Bunda,31/03/2022,y
SD823,09/04/2022,10/04/2022,Mara,Mara,Serengeti,Serengeti,10/04/2022,y
SD826,30/04/2022,02/05/2022,Mara,Mara,Serengeti,Serengeti,03/05/2022,z
SD830,18/03/2022,30/11/2022,Mara,Mara,Rorya,Rorya,18/03/2022,x
SD831,03/05/2022,30/11/2022,Mara,Mara,Rorya,Rorya,03/05/2022,x
SD832,16/03/2022,07/12/2022,Mara,Mara,Serengeti,Rorya,16/03/2022,x
SD834,03/07/2022,29/11/2022,Mara,Mara,Rorya,Rorya,03/07/2022,x
SD837,20/06/2022,04/08/2022,Mara,Mara,Serengeti,Serengeti,25/06/2022,z
SD846,03/10/2022,16/10/2022,Arusha,Arusha,Ngorongoro,Ngorongoro,03/10/2022,x
TAN1019,11/04/2022,15/09/2022,Lindi,Mtwara,Tandahimba,Tandahimba,11/04/2022,x
IFA1013,08/09/2022,08/09/2022,Morogoro,Morogoro,Ifakara,Ifakara,08/09/2022,
IFA1021,11/08/2022,11/08/2022,Morogoro,Morogoro,Ifakara,Ifakara,11/08/2022,
IFA1023,23/07/2022,23/07/2022,Morogoro,Morogoro,Ifakara,Ifakara,23/07/2022,
KD1004,11/02/2022,02/11/2022,Morogoro,Morogoro,Kilombero,Kilombero,11/02/2022,
MAL1008,23/07/2022,23/07/2022,Morogoro,Morogoro,Malinyi,Malinyi,23/07/2022,
MAL1020,17/04/2022,17/04/2022,Mtwara,Morogoro,Malinyi,Malinyi,17/04/2022,
NAC1017,24/03/2022,24/03/2022,Lindi,Lindi,Nachingwea,Nachingwea,24/03/2022,
NAC1018,15/04/2022,15/04/2022,Lindi,Lindi,Nachingwea,nachingwea,15/04/2022,
