sample_id,sample_labid,sample_batchid,apha_sub,apha_rv,sample_tissuetype,sample_buffer,country,fat,drit,hn_rtpcr,rt_rtpcr_assay,rt_rtpcr,lft,test_centre,diagnostic_result,diag_notes,ngs_sampleid,ngs_runid,ngs_rundate,ngs_country,ngs_location,ngs_submission,ngs_platform,illumina_platform,nanopore_platform,ngs_analysis_type,ngs_merged_from,ngs_flowcell,ngs_library_type,primer_scheme,ngs_barcode,total_reads,mapped_reads,mean_depth,stdev_depth,median_depth,minimum_reads,maximum_reads,genomecov_depthx1,genomecov_depthx5,genomecov_depthx20,genomecov_depthx100,genomecov_depthx200,Genbank_accession,consensus_version,unmasked_consensus_coverage,consensus_coverage,consensus_fasta,ngs_notes
Rab12/002,SUB6953,Nov16_tvla,SUB6953,,Brain,PBSwash,,Negative,,Pos1,,23.34,,TVLA;APHA,Positive,,Rab12-002,sangerN405,22-Dec-16,UK,APHA,,sanger,,,single_run,,NA,sangerPCR,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
Rab12/004,SUB6954,Nov16_tvla,SUB6954,,Brain,PBSwash,,Positive,,NA,,38.28,,TVLA;APHA,Positive,,Rab12-004,sangerN405,22-Dec-16,UK,APHA,,sanger,,,single_run,,NA,sangerPCR,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
Rab12/039,SUB6971,Nov16_tvla,SUB6971,,Brain,PBSwash,,Negative,,Pos1,,25.96,,TVLA;APHA,Positive,,Rab12-039,sangerN405,22-Dec-16,UK,APHA,,sanger,,,single_run,,NA,sangerPCR,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
Rab16/024,SUB7090,Nov16_tvla,SUB7090,,Brain,PBSwash,,,,Pos1,,20.08,,TVLA;APHA,Positive,,Rab16-024,sangerN405,22-Dec-16,UK,APHA,,sanger,,,single_run,,NA,sangerPCR,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
Rab16/025,SUB7091,Nov16_tvla,SUB7091,,Brain,PBSwash,,,,Pos1,,23.87,,TVLA;APHA,Positive,,Rab16-025,sangerN405,22-Dec-16,UK,APHA,,sanger,,,single_run,,NA,sangerPCR,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
Rab16/026,SUB7092,Nov16_tvla,SUB7092,,Brain,PBSwash,,,,Pos1,,25.16,,TVLA;APHA,Positive,,Rab16-026,sangerN405,22-Dec-16,UK,APHA,,sanger,,,single_run,,NA,sangerPCR,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
Rab16/027,SUB7093,Nov16_tvla,SUB7093,,Brain,PBSwash,,,,Pos1,,22.24,,TVLA;APHA,Positive,,Rab16-027,sangerN405,22-Dec-16,UK,APHA,,sanger,,,single_run,,NA,sangerPCR,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
Rab16/028,SUB7094,Nov16_tvla,SUB7094,,Brain,PBSwash,,,,Pos1,,23.37,,TVLA;APHA,Positive,,Rab16-028,sangerN405,22-Dec-16,UK,APHA,,sanger,,,single_run,,NA,sangerPCR,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
Rab16/029,SUB7095,Nov16_tvla,SUB7095,,Brain,PBSwash,,,,Pos1,,22.88,,TVLA;APHA,Positive,,Rab16-029,sangerN405,22-Dec-16,UK,APHA,,sanger,,,single_run,,NA,sangerPCR,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
SD512,RV3227,15-Sep,SUB5631,RV3227,Brain,,,,,NA,,22.72,Negative,APHA,Positive,,RV3227,rv3227mPCR,2-Dec-16,UK,APHA,,illumina,miseq,,single_run,,NA,amplicon,,,,,,,,,,,,,,,,,,0,,
Canine3/10/10(1704),RV2807,11-May,SUB1704,RV2807,Brain,,,,,Pos1,,,,APHA,Positive,,RV2807,454_suspicious,26-Jul-13,UK,APHA,,454,,,single_run,,NA,metagenomic,,,437,437,10.46875786,5.603961802,10,0,29,11878,10472,807,0,,KR906757,best,,87.83024407,,
Rab102(D10-1429)1649,RV2776,11-May,SUB1649,RV2776,Brain,,,,,Pos1,,,,APHA;CVL,Positive,,RV2776,454_suspicious,26-Jul-13,UK,APHA,,454,,,single_run,,NA,metagenomic,,,0,0,0,0,0,,,,,,,,,,,0,,
Rab12/001,SUB6952,Nov16_tvla,SUB6952,,Brain,,,Positive,,,,23.64,,APHA,Positive,,RAB12/001,apha_jan17,1-Jan-17,UK,APHA,NGS_sub251_Jan17,illumina,miseq,,single_run,,,metagenomic,,,751076,2085,30.31133104,27.21238447,25,0,156,11860,11402,7197,631,,,best,,95.63029439,,
Rab12/002,SUB6953,,SUB6953,,Brain,,,Negative,,,,23.34,,APHA,Positive,,RAB12/002,apha_jan17,1-Jan-17,UK,APHA,NGS_sub251_Jan17,illumina,miseq,,single_run,,,metagenomic,,,1093434,30793,679.0013419,167.1577206,691,1,1171,11923,11907,11898,11831,,,best,,99.86580559,,
Rab12/005,SUB6955,,SUB6955,,Brain,,,Positive,,,,31.33,,APHA,Positive,,RAB12/005,apha_jan17,1-Jan-17,UK,APHA,NGS_sub251_Jan17,illumina,miseq,,single_run,,,metagenomic,,,1494738,22712,486.4267382,191.4472067,460,1,1072,11923,11918,11898,11889,,,best,,99.95806425,,
